jalon,km_boundary,km_cross,delta_km,dist_m,acces,road_type,road_name,way_id,lat_cross,lon_cross
0,0.0,0.03567508352276248,0.03567508352276248,35.609506930652046,cross,secondary,Avenue Thiers,220137895,45.76506991667849,4.8617592501063935
0,0.0,0.05516763411723721,0.05516763411723721,47.818032050197516,cross,service,,954645715,45.765172126164515,4.86166229667572
0,0.0,0.17880522685626604,0.17880522685626604,171.0972319454057,cross,tertiary,Rue de la Viabert,156013701,45.76628275099653,4.861585994206345
0,0.0,0.40715510501553853,0.40715510501553853,393.72630970725885,cross,service,,344367425,45.76825246234224,4.861034448981175
0,0.0,0.5039820931003526,0.5039820931003526,485.564472776917,cross,secondary,Rue des Émeraudes,196605611,45.76901381316307,4.860428585299813
0,0.0,0.520333298380428,0.520333298380428,497.59688701004194,cross,secondary,Rue Michel Rambaud,33199044,45.76912340582835,4.860420855153711
0,0.0,0.6555980341812575,0.6555980341812575,622.8301902564981,cross,primary,Cours Vitton,1388820041,45.77017628197386,4.859788753836864
0,0.0,0.7233736028909206,0.7233736028909206,678.9901458523523,cross,residential,Rue Louis Guérin,5984482,45.77063993823744,4.859470432337917
0,0.0,0.8966919834466988,0.8966919834466988,848.8272718096612,cross,residential,Rue Jean Novel,1041471547,45.772121096216125,4.8589344048462175
0,0.0,0.9767583553616108,0.9767583553616108,922.8154685826742,cross,tertiary,Cours André Philip,9383687,45.77283035524957,4.8590665705197935
0,0.0,0.9848669471667617,0.9848669471667617,929.7244750934597,cross,tertiary,Cours André Philip,1387985566,45.77289950489195,4.859099762348136
1,2.5,1.759406158657035,-0.7405938413429649,605.5177155046625,cross,service,,156178572,45.7796477455264,4.859409767986212
1,2.5,2.4851050031775097,-0.014894996822490292,10.744173463963678,cross,service,Allée Achille Lignon,522603856,45.78470479067077,4.856905515298462
1,2.5,2.5697617419718926,0.06976174197189255,66.57306982843052,cross,service,,1136972170,45.784800130002026,4.855981768027579
1,2.5,2.7672473726492646,0.26724737264926457,194.19073877122744,cross,primary,Quai Charles de Gaulle,326875328,45.78583780189339,4.854836669766312
1,2.5,2.7804612061346883,0.2804612061346883,204.25849634211488,cross,primary,Quai Charles de Gaulle,314987317,45.78595424348933,4.854802641172067
1,2.5,3.447188099947641,0.947188099947641,414.80962248316933,cross,primary,Pont Raymond Poincaré,779346069,45.78755282572158,4.860434759434387
1,2.5,3.4555198067020707,0.9555198067020707,420.03723120639324,cross,primary,Pont Raymond Poincaré,374602933,45.7875478554521,4.860541975247557
1,2.5,3.4656059283069607,0.9656059283069607,426.49769948864116,cross,primary_link,Bretelle 2 - La Pape,8584660,45.78754183858858,4.860671767589207
2,5.0,5.221362029507824,0.2213620295078238,220.86909175995407,cross,unclassified,Chemin du Bac à Traille,819864079,45.7963634102981,4.877596911077233
3,7.5,6.6238983628802055,-0.8761016371197945,871.3072995396602,cross,residential,Chemin des Îles,24513161,45.8035693019192,4.892173394414156
4,10.0,10.234096134353779,0.23409613435377885,234.09834138990882,cross,service,,461834860,45.81434737995941,4.934538110316001
4,10.0,10.453114242242702,0.4531142422427017,453.11544965661454,cross,service,Chemin du Bac à Traille,59993870,45.81540931803075,4.936918209888692
4,10.0,10.673003936677947,0.6730039366779472,660.7865901357991,cross,unclassified,Chemin de la Traille,51721789,45.81658680754105,4.9390123943442115
4,10.0,10.737402612833645,0.7374026128336446,724.1036479809411,cross,service,,335765781,45.81683832826087,4.939754984782611
4,10.0,10.79574057965042,0.7957405796504204,781.8796080281476,cross,service,,335765777,45.817064693755135,4.940434081265407
5,12.5,11.298182329455994,-1.2018176705440062,996.0492619301216,cross,service,,1091178177,45.819472890902276,4.945918239465131
5,12.5,11.340019711577494,-1.1599802884225063,959.786152042887,cross,unclassified,,1173995546,45.81962776757624,4.946338325682184
5,12.5,11.403542234637898,-1.0964577653621017,899.9894475818187,cross,unclassified,Quai du Rhône,661298975,45.81981805345025,4.9471086460203955
5,12.5,11.427218555826649,-1.0727814441733514,876.932962485486,cross,unclassified,Pont de l'Île,24595603,45.819912868372136,4.947382210385174
5,12.5,11.535400666949002,-0.9645993330509981,772.0606572942111,cross,service,,1242181578,45.82034609777182,4.948632183735074
5,12.5,11.623786083582258,-0.8762139164177416,689.8359148446812,cross,unclassified,Quai du Rhône,24513238,45.820635943397825,4.949693538922484
5,12.5,11.917314823690083,-0.5826851763099175,448.04206244124833,cross,unclassified,Quai du Rhône,661298972,45.821420297299795,4.953309892466033
5,12.5,11.970931967905685,-0.5290680320943153,410.32278961999646,cross,residential,,52982982,45.82188786245209,4.9531407731556305
5,12.5,11.971254704465942,-0.5287452955340584,410.0816204855817,cross,residential,,52982491,45.821890628684315,4.953140435242984
5,12.5,12.049643428820554,-0.45035657117944616,344.1117519300638,cross,unclassified,Avenue de la Gare,233493903,45.82223445265437,4.953968972464375
5,12.5,12.181031862598925,-0.3189681374010753,233.16721002603632,cross,unclassified,Montée de la Gare,309088369,45.822963174524396,4.9551468740853855
5,12.5,12.203548958426213,-0.2964510415737873,218.64470695806963,cross,unclassified,Montée de la Gare,52982485,45.82305883276202,4.955341591658616
5,12.5,12.319188680421641,-0.18081131957835872,180.50208836008758,cross,residential,Avenue des Balmes,236019941,45.82340083709496,4.956749592764616
5,12.5,12.40548191054043,-0.09451808945956941,94.31846324393237,cross,service,,907680457,45.824135803776045,4.956392041406248
5,12.5,12.446877545466453,-0.053122454533546914,53.101951062161866,cross,residential,Rue du Rhône,52982480,45.82448837387188,4.956220520819084
5,12.5,12.472694940663875,-0.02730505933612548,27.30506044424185,cross,unclassified,Impasse de la Treille,309111698,45.824715316370316,4.956151338179909
5,12.5,12.536500127929154,0.03650012792915369,36.50012237609124,cross,primary,Grande Rue,819864083,45.825278084210524,4.955990547368421
5,12.5,12.581079315442494,0.08107931544249425,64.38163666036156,cross,unclassified,Impasse Pierre Blanche,53043565,45.82545488911917,4.956504577600638
5,12.5,12.596262743227175,0.09626274322717521,77.50067839704087,cross,unclassified,,1304441224,45.82551474704934,4.9566806980490155
5,12.5,12.641052021814085,0.14105202181408494,119.0935767816398,cross,unclassified,Impasse Malpas,53101247,45.82569132071557,4.95720023210543
5,12.5,12.668239357717232,0.16823935771723164,145.27065434866958,cross,service,,53043566,45.825798501892116,4.957515592105647
5,12.5,12.789742232946622,0.2897422329466224,191.50170452945707,cross,service,Place de la République,1173989470,45.82662895903472,4.956670261918776
