;;Généré par gpx_to_altitude_csv.py depuis parcours.gpx
Distance (m); Altitude (m)
0;173.0
100;171.8
200;171.5
300;171.1
400;171.7
500;172.8
600;174.0
700;171.8
800;170.6
900;169.9
1000;169.9
1100;171.3
1200;171.0
1300;171.0
1400;171.0
1500;171.0
1600;171.0
1700;171.0
1800;173.1
1900;173.0
2000;172.0
2100;172.0
2200;173.4
2300;174.0
2400;172.3
2500;173.0
2600;171.9
2700;170.7
2800;170.4
2900;169.6
3000;169.0
3100;168.9
3200;168.5
3300;168.1
3400;168.4
3500;168.8
3600;168.8
3700;168.3
3800;167.6
3900;167.3
4000;167.8
4100;168.8
4200;170.0
4300;169.4
4400;168.6
4500;168.3
4600;169.8
4700;168.1
4800;168.0
4900;168.0
5000;168.0
5100;170.8
5200;175.1
5300;176.7
5400;177.6
5500;178.4
5600;179.6
5700;181.2
5800;182.9
5900;184.6
6000;186.2
6100;186.2
6200;184.6
6300;182.1
6400;179.2
6500;176.8
6600;174.3
6700;173.4
6800;172.1
6900;171.0
7000;171.4
7100;171.8
7200;171.9
7300;171.5
7400;171.1
7500;171.6
7600;172.6
7700;173.9
7800;175.0
7900;174.6
8000;174.1
8100;174.6
8200;174.0
8300;172.4
8400;172.5
8500;173.2
8600;173.7
8700;174.4
8800;175.0
8900;175.7
9000;176.4
9100;177.1
9200;177.8
9300;178.4
9400;179.0
9500;179.0
9600;178.8
9700;178.4
9800;178.1
9900;176.4
10000;175.6
10100;175.2
10200;174.8
10300;174.4
10400;173.9
10500;173.5
10600;173.1
10700;173.2
10800;173.9
10900;174.3
11000;174.7
11100;175.1
11200;175.5
11300;175.9
11400;176.1
11500;177.4
11600;177.2
11700;177.0
11800;177.0
11900;177.0
12000;180.4
12100;182.1
12200;183.5
12300;187.3
12400;188.6
12500;188.4
12600;188.0
12700;187.1
12800;185.0
12900;185.0
13000;186.2
13100;190.9
13200;191.5
13300;190.5
13400;188.5
13500;187.2
13600;190.6
13700;192.2
13800;190.3
13900;192.6
14000;195.0
14100;194.3
14200;192.3
14300;190.6
14400;190.2
14500;191.0
14600;201.6
14700;209.9
14800;212.2
14900;216.0
15000;219.1
15100;226.4
15200;233.8
15300;243.2
15400;244.5
15500;246.6
15600;250.7
15700;245.0
15800;242.9
15900;245.2
16000;250.3
16100;250.7
16200;240.4
16300;240.1
16400;237.7
16500;235.3
16600;231.7
16700;222.3
16800;216.8
16900;228.4
17000;233.3
17100;233.7
17200;234.4
17300;236.8
17400;240.8
17500;245.7
17600;245.7
17700;249.7
17800;246.9
17900;231.1
18000;235.6
18100;242.7
18200;232.1
18300;235.0
18400;232.2
18500;221.8
18600;215.7
18700;206.7
18800;211.2
18900;221.7
19000;223.7
19100;227.7
19200;238.6
19300;256.1
19400;262.4
19500;255.6
19600;251.5
19700;250.0
19800;240.3
19900;235.0
20000;222.9
20100;217.8
20200;229.0
20300;231.9
20400;228.0
20500;228.0
20600;228.0
20700;228.7
20800;230.0
20900;235.4
21000;238.7
21100;237.0
21200;247.1
21300;250.5
21400;247.9
21500;241.8
21600;239.3
21700;231.0
21800;230.1
21900;222.3
22000;216.7
22100;211.8
22200;207.6
22300;206.3
22400;206.1
22500;204.0
22600;205.1
22700;208.6
22800;213.0
22900;217.4
23000;220.0
23100;220.8
23200;222.2
23300;223.6
23400;225.8
23500;228.7
23600;233.2
23700;225.5
23800;214.4
23900;216.9
24000;217.0
24100;217.0
24200;217.0
24300;218.9
24400;226.2
24500;233.2
24600;224.6
24700;223.9
24800;231.0
24900;232.9
25000;236.9
25100;241.0
25200;242.5
25300;248.2
25400;240.5
25500;235.0
25600;241.5
25700;245.5
25800;248.1
25900;251.0
26000;251.0
26100;248.5
26200;246.6
26300;250.9
26400;249.6
26500;242.6
26600;240.0
26700;242.1
26800;247.0
26900;246.5
27000;240.0
27100;237.6
27200;243.6
27300;246.0
27400;245.1
27500;246.9
27600;252.0
27700;252.0
27800;251.5
27900;249.3
28000;247.6
28100;251.7
28200;251.5
28300;249.3
28400;248.4
28500;257.1
28600;254.9
28700;252.4
28800;253.0
28900;255.3
29000;262.4
29100;263.5
29200;264.0
29300;264.7
29400;268.3
29500;265.2
29600;266.7
29700;266.0
29800;267.1
29900;268.5
30000;265.5
30100;262.3
30200;265.3
30300;269.9
30400;270.0
30500;265.2
30600;266.7
30700;266.8
30800;266.1
30900;270.2
31000;273.8
31100;276.0
31200;272.0
31300;271.0
31400;270.3
31500;268.3
31600;267.3
31700;270.0
31800;270.0
31900;272.0
32000;272.0
32100;272.4
32200;273.1
32300;274.3
32400;276.4
32500;276.0
32600;277.5
32700;279.0
32800;279.9
32900;279.0
33000;279.6
33100;280.3
33200;281.0
33300;280.6
33400;280.2
33500;281.0
33600;283.5
33700;286.1
33800;288.5
33900;290.4
34000;292.3
34100;294.1
34200;295.0
34300;295.6
34400;297.6
34500;299.6
34600;298.6
34700;295.1
34800;290.3
34900;288.0
35000;284.6
35100;281.5
35200;280.0
35300;280.4
35400;281.6
35500;282.0
35600;282.0
35700;282.8
35800;283.4
35900;283.4
36000;283.5
36100;281.7
36200;277.1
36300;274.3
36400;273.0
36500;273.9
36600;272.9
36700;264.6
36800;251.7
36900;239.8
37000;228.5
37100;225.0
37200;228.6
37300;234.8
37400;244.2
37500;248.2
37600;247.4
37700;244.9
37800;239.2
37900;233.2
38000;228.9
38100;227.7
38200;226.8
38300;225.8
38400;225.1
38500;226.2
38600;228.6
38700;226.0
38800;223.3
38900;223.7
39000;223.0
39100;222.9
39200;221.5
39300;220.0
39400;218.4
39500;218.8
39600;219.9
39700;220.2
39800;220.8
39900;220.4
40000;222.0
40100;222.0
40200;222.2
40300;222.8
40400;223.0
40500;222.7
40600;221.8
40700;221.1
40800;221.9
40900;222.5
41000;223.2
41100;223.9
41200;224.4
41300;225.0
41400;226.2
41500;228.1
41600;228.4
41700;227.4
41800;231.3
41900;234.2
42000;237.1
42100;240.2
42200;246.6
42300;256.8
42400;266.4
42500;270.5
42600;271.9
42700;275.7
42800;280.0
42900;278.3
43000;277.3
43100;280.6
43200;288.3
43300;289.9
43400;289.8
43500;289.6
43600;289.5
43700;289.3
43800;289.2
43900;289.1
44000;286.6
44100;279.5
44200;267.6
44300;253.5
44400;242.2
44500;233.7
44600;230.2
44700;229.2
44800;228.3
44900;226.4
45000;224.6
45100;224.0
45200;224.0
45300;224.0
45400;224.5
45500;225.5
45600;226.4
45700;227.4
45800;228.4
45900;229.4
46000;230.4
46100;230.0
46200;227.8
46300;227.1
46400;226.4
46500;225.2
46600;223.2
46700;221.4
46800;221.6
46900;222.3
47000;223.0
47100;223.2
47200;224.5
47300;225.1
47400;225.8
47500;226.5
47600;228.5
47700;229.9
47800;231.9
47900;233.6
48000;232.7
48100;231.7
48200;230.8
48300;229.8
48400;228.9
48500;227.9
48600;227.0
48700;227.9
48800;229.7
48900;231.5
49000;233.3
49100;235.2
49200;234.3
49300;232.0
49400;231.0
49500;232.0
49600;233.0
49700;234.0
49800;235.0
49900;236.0
50000;237.0
50100;238.0
50200;239.0
50300;239.9
50400;240.9
50500;241.9
50600;240.2
50700;238.2
50800;237.2
50900;236.3
51000;235.4
51100;234.5
51200;233.6
51300;232.7
51400;231.8
51500;230.9
51600;230.0
51700;229.1
51800;229.0
51900;229.5
52000;230.3
52100;231.1
52200;231.8
52300;232.6
52400;233.4
52500;234.1
52600;234.9
52700;235.6
52800;236.4
52900;237.8
53000;236.3
53100;234.8
53200;233.0
53300;231.2
53400;232.0
53500;232.7
53600;232.0
53700;231.0
53800;231.5
53900;230.9
54000;229.2
54100;230.0
54200;230.0
54300;229.2
54400;229.2
54500;230.5
54600;231.6
54700;230.5
54800;230.1
54900;231.0
55000;231.4
55100;232.0
55200;232.0
55300;232.0
55400;232.0
55500;232.0
55600;231.8
55700;231.2
55800;232.0
55900;233.0
56000;234.0
56100;233.0
56200;233.0
56300;232.2
56400;232.1
56500;233.3
56600;233.3
56700;233.5
56800;234.0
56900;236.0
57000;236.0
57100;236.0
57200;236.0
57300;235.8
57400;238.2
57500;239.0
57600;238.2
57700;236.1
57800;233.0
57900;233.0
58000;233.0
58100;233.9
58200;235.0
58300;232.5
58400;232.1
58500;233.0
58600;233.7
58700;235.3
58800;236.2
58900;237.0
59000;237.0
59100;236.5
59200;235.5
59300;234.7
59400;234.0
59500;234.0
59600;234.0
59700;234.0
59800;234.5
59900;235.0
60000;237.1
60100;238.9
60200;239.6
60300;239.5
60400;239.9
60500;239.0
60600;239.0
60700;239.2
60800;239.5
60900;239.9
61000;241.0
61100;241.5
61200;243.0
61300;243.0
61400;242.0
61500;247.0
61600;249.1
61700;249.7
61800;254.2
61900;265.7
62000;272.8
62100;282.3
62200;294.9
62300;292.9
62400;292.4
62500;295.7
62600;300.0
62700;300.0
62800;299.0
62900;297.4
63000;292.8
63100;289.5
63200;285.8
63300;281.2
63400;276.7
63500;275.9
63600;275.7
63700;275.6
63800;275.5
63900;275.3
64000;275.2
64100;275.0
64200;273.1
64300;272.1
64400;273.4
64500;274.3
64600;275.0
64700;275.6
64800;277.7
64900;280.3
65000;280.9
65100;278.1
65200;274.4
65300;272.8
65400;271.6
65500;270.2
65600;269.7
65700;272.2
65800;273.2
65900;274.5
66000;273.9
66100;272.4
66200;278.3
66300;284.2
66400;289.6
66500;294.0
66600;296.6
66700;299.2
66800;303.1
66900;304.2
67000;305.2
67100;306.2
67200;307.2
67300;308.5
67400;309.0
67500;308.9
67600;308.0
67700;309.9
67800;311.8
67900;312.9
68000;312.1
68100;313.1
68200;314.8
68300;315.0
68400;302.5
68500;298.1
68600;295.4
68700;292.3
68800;285.2
68900;279.0
69000;269.3
69100;262.0
69200;260.0
69300;260.0
69400;260.0
69500;260.0
69600;260.9
69700;267.0
69800;268.0
69900;268.9
70000;267.1
70100;266.5
70200;264.5
70300;268.6
70400;269.2
70500;266.4
70600;263.5
70700;259.4
70800;260.2
70900;260.0
71000;260.9
71100;262.3
71200;262.6
71300;261.8
71400;262.2
71500;276.8
71600;289.0
71700;303.7
71800;303.4
71900;304.0
72000;304.7
72100;312.1
72200;313.0
72300;314.0
72400;316.0
72500;323.0
72600;334.5
72700;338.2
72800;345.9
72900;341.7
73000;330.8
73100;329.9
73200;326.8
73300;320.3
73400;313.8
73500;309.2
73600;305.1
73700;300.5
73800;295.5
73900;292.7
74000;288.2
74100;287.4
74200;286.2
74300;286.9
74400;289.5
74500;288.3
74600;288.7
74700;288.0
74800;287.4
74900;286.7
75000;286.2
75100;291.7
75200;293.7
75300;295.7
75400;296.2
75500;296.4
75600;296.6
75700;296.8
75800;297.0
75900;296.1
76000;294.1
76100;289.9
76200;287.2
76300;285.3
76400;284.6
76500;284.0
76600;282.6
76700;281.0
76800;279.5
76900;277.9
77000;272.0
77100;271.0
77200;274.7
77300;276.0
77400;281.1
77500;289.0
77600;296.3
77700;299.9
77800;306.0
77900;309.0
78000;312.0
78100;324.5
78200;334.9
78300;345.4
78400;348.2
78500;351.0
78600;353.5
78700;358.1
78800;364.8
78900;377.2
79000;381.9
79100;378.8
79200;380.6
79300;385.3
79400;391.4
79500;396.0
79600;396.0
79700;394.0
79800;393.1
79900;393.9
80000;394.0
80100;393.0
80200;388.8
80300;383.8
80400;378.7
80500;375.1
80600;369.7
80700;364.0
80800;365.4
80900;368.0
81000;363.1
81100;364.0
81200;363.2
81300;359.2
81400;356.6
81500;354.0
81600;354.2
81700;359.2
81800;369.7
81900;380.5
82000;392.5
82100;399.4
82200;402.9
82300;407.7
82400;411.9
82500;421.0
82600;425.4
82700;427.4
82800;431.5
82900;437.0
83000;444.2
83100;451.2
83200;458.6
83300;465.6
83400;470.6
83500;474.3
83600;478.1
83700;481.8
83800;485.5
83900;489.3
84000;493.0
84100;496.0
84200;497.1
84300;498.9
84400;503.7
84500;505.9
84600;501.8
84700;497.8
84800;492.8
84900;487.5
85000;482.7
85100;480.4
85200;476.9
85300;471.0
85400;474.0
85500;477.9
85600;481.8
85700;484.8
85800;485.1
85900;483.0
86000;482.2
86100;487.0
86200;498.5
86300;500.5
86400;495.1
86500;490.3
86600;489.8
86700;493.7
86800;497.9
86900;503.1
87000;504.0
87100;508.2
87200;515.5
87300;522.8
87400;530.0
87500;531.8
87600;531.9
87700;535.3
87800;539.9
87900;544.5
88000;547.8
88100;549.5
88200;550.2
88300;551.0
88400;544.8
88500;537.9
88600;527.5
88700;524.6
88800;523.0
88900;524.0
89000;529.8
89100;535.7
89200;541.8
89300;541.5
89400;539.9
89500;537.9
89600;535.9
89700;534.1
89800;534.1
89900;531.8
90000;528.5
90100;522.0
90200;522.0
90300;518.9
90400;517.0
90500;515.6
90600;506.3
90700;502.0
90800;502.7
90900;501.1
91000;498.1
91100;495.1
91200;495.5
91300;495.7
91400;493.9
91500;495.4
91600;491.5
91700;483.5
91800;481.0
91900;478.3
92000;476.9
92100;476.2
92200;472.4
92300;464.9
92400;464.6
92500;463.9
92600;462.4
92700;461.0
92800;459.1
92900;458.1
93000;459.5
93100;457.4
93200;454.2
93300;453.3
93400;454.7
93500;451.8
93600;450.0
93700;450.4
93800;450.7
93900;451.1
94000;451.4
94100;451.8
94200;453.0
94300;454.2
94400;456.2
94500;457.9
94600;460.9
94700;464.8
94800;467.3
94900;461.2
95000;462.0
95100;465.2
95200;469.8
95300;472.7
95400;471.1
95500;471.1
95600;470.2
95700;467.4
95800;466.4
95900;466.8
96000;465.4
96100;465.0
96200;462.5
96300;460.8
96400;449.3
96500;429.2
96600;431.7
96700;432.0
96800;401.5
96900;372.9
97000;344.4
97100;321.7
97200;315.2
97300;305.8
97400;295.3
97500;290.0
97600;292.9
97700;291.4
97800;288.0
97900;287.6
98000;288.5
98100;290.6
98200;293.6
98300;295.4
98400;295.7
98500;294.7
98600;295.1
98700;297.7
98800;298.1
98900;296.7
99000;296.0
99100;297.9
99200;295.4
99300;295.0
99400;295.0
99500;295.0
99600;295.0
99700;295.0
99800;293.3
99900;291.1
100000;291.5
100100;292.0
100200;293.4
100300;293.5
100400;292.5
100500;291.0
100600;290.0
100700;290.0
100800;290.8
100900;293.2
101000;295.5
101100;300.7
101200;308.2
101300;303.8
101400;303.6
101500;304.9
101600;306.7
101700;308.5
101800;304.0
101900;304.8
102000;305.6
102100;307.0
102200;308.9
102300;304.2
102400;303.0
102500;300.9
102600;304.0
102700;304.2
102800;305.7
102900;308.0
103000;310.2
103100;312.2
103200;314.2
103300;316.3
103400;317.5
103500;315.7
103600;317.7
103700;313.3
103800;315.9
103900;318.9
104000;316.4
104100;313.8
104200;315.7
104300;314.1
104400;314.5
104500;309.6
104600;300.6
104700;301.0
104800;303.3
104900;306.4
105000;307.0
105100;308.2
105200;310.3
105300;312.4
105400;313.8
105500;313.2
105600;313.0
105700;310.9
105800;309.3
105900;308.0
106000;308.0
106100;308.2
106200;310.1
106300;312.0
106400;312.1
106500;313.6
106600;314.0
106700;312.8
106800;309.7
106900;311.0
107000;315.0
107100;318.7
107200;319.6
107300;319.2
107400;321.4
107500;323.6
107600;327.5
107700;330.0
107800;332.7
107900;335.6
108000;338.6
108100;334.1
108200;328.3
108300;325.5
108400;324.2
108500;333.0
108600;333.0
108700;336.9
108800;333.9
108900;326.2
109000;318.9
109100;316.5
109200;318.6
109300;319.0
109400;318.0
109500;318.5
109600;319.2
109700;319.2
109800;319.5
109900;319.8
