;;Openrunner - ©2026 -  Avertissement  : Toute diffusion publique des données calculées sur Openrunner nécessite, pour leur diffuseur, de mentionner leur origine (openrunner.com).
;;23295488 | 'Lyon---Fessenheim validé v2 | D+ 5591m | D- 5560m
;;Lyon -> Fessenheim
Distance (m); Altitude (m)
0;173
100;172
200;171
300;172
400;173
500;174
600;173
700;172
800;171
900;170
1000;170
1100;171
1200;172
1300;173
1400;173
1500;173
1600;172
1700;172
1800;173
1900;173
2000;172
2100;173
2200;173
2300;173
2400;174
2500;173
2600;172
2700;170
2800;169
2900;169
3000;169
3100;169
3200;168
3300;168
3400;168
3500;168
3600;168
3700;168
3800;168
3900;168
4000;168
4100;168
4200;169
4300;169
4400;169
4500;169
4600;169
4700;169
4800;169
4900;168
5000;168
5100;170
5200;174
5300;178
5400;180
5500;182
5600;182
5700;182
5800;183
5900;184
6000;185
6100;185
6200;184
6300;182
6400;180
6500;178
6600;175
6700;173
6800;172
6900;171
7000;171
7100;172
7200;171
7300;171
7400;171
7500;171
7600;172
7700;174
7800;174
7900;175
8000;175
8100;175
8200;174
8300;174
8400;173
8500;173
8600;173
8700;175
8800;177
8900;178
9000;178
9100;178
9200;178
9300;178
9400;179
9500;179
9600;179
9700;179
9800;178
9900;177
10000;176
10100;175
10200;174
10300;173
10400;173
10500;173
10600;174
10700;174
10800;174
10900;174
11000;173
11100;173
11200;174
11300;175
11400;176
11500;176
11600;176
11700;176
11800;176
11900;177
12000;179
12100;181
12200;184
12300;186
12400;188
12500;189
12600;189
12700;187
12800;186
12900;185
13000;186
13100;188
13200;190
13300;190
13400;190
13500;189
13600;189
13700;190
13800;191
13900;193
14000;194
14100;194
14200;193
14300;191
14400;190
14500;193
14600;198
14700;205
14800;211
14900;214
15000;218
15100;224
15200;231
15300;238
15400;244
15500;248
15600;248
15700;247
15800;246
15900;247
16000;248
16100;248
16200;245
16300;242
16400;239
16500;236
16600;232
16700;226
16800;223
16900;224
17000;228
17100;232
17200;235
17300;237
17400;239
17500;243
17600;246
17700;247
17800;246
17900;243
18000;239
18100;237
18200;237
18300;236
18400;232
18500;226
18600;218
18700;212
18800;211
18900;214
19000;219
19100;226
19200;235
19300;246
19400;254
19500;258
19600;256
19700;252
19800;245
19900;237
20000;229
20100;224
20200;223
20300;226
20400;229
20500;231
20600;229
20700;229
20800;230
20900;232
21000;235
21100;238
21200;243
21300;246
21400;248
21500;247
21600;242
21700;237
21800;232
21900;227
22000;222
22100;216
22200;211
22300;207
22400;205
22500;204
22600;205
22700;207
22800;210
22900;214
23000;218
23100;220
23200;222
23300;223
23400;225
23500;227
23600;229
23700;228
23800;224
23900;219
24000;217
24100;216
24200;218
24300;220
24400;223
24500;225
24600;225
24700;226
24800;226
24900;228
25000;231
25100;235
25200;239
25300;242
25400;242
25500;241
25600;240
25700;242
25800;246
25900;250
26000;251
26100;250
26200;249
26300;249
26400;249
26500;246
26600;244
26700;242
26800;243
26900;245
